"id","study_id","sex","race","T_TOCA_breakrule","T_TOCA_harmpro","T_TOCA_breakthg","T_TOCA_takeprop","T_TOCA_fight","T_TOCA_lies","T_TOCA_yell","T_TOCA_stub","T_TOCA_teas","hs"
"FT001","FAST","male","black",0,0,NA,0,0,0,0,0,1,1
"FT002","FAST","male","white",1,0,NA,0,1,0,1,1,1,1
"FT003","FAST","female","white",0,0,NA,0,0,0,1,0,0,1
"FT004","FAST","female","white",1,1,NA,1,0,1,1,1,1,0
"FT005","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT006","FAST","male","black",0,0,NA,1,0,1,1,1,1,1
"FT007","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT008","FAST","male","black",1,0,NA,0,0,0,0,0,0,0
"FT009","FAST","male","black",1,0,NA,1,1,1,1,1,1,0
"FT010","FAST","female","black",1,0,NA,1,0,0,1,1,1,1
"FT011","FAST","female","white",0,0,NA,0,0,0,0,0,0,1
"FT012","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT013","FAST","male","black",1,0,NA,1,0,1,1,1,1,0
"FT014","FAST","female","black",1,1,NA,1,1,1,1,1,1,0
"FT015","FAST","male","white",1,0,NA,1,1,1,0,1,1,1
"FT016","FAST","male","white",1,0,NA,0,1,1,0,1,0,1
"FT017","FAST","female","white",1,1,NA,1,1,1,1,1,1,0
"FT018","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT019","FAST","male","white",1,0,NA,0,0,0,0,1,0,1
"FT020","FAST","male","white",1,0,NA,0,1,0,1,1,0,1
"FT021","FAST","male","white",1,0,NA,0,0,0,1,1,0,1
"FT022","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT023","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT024","FAST","male","black",1,0,NA,0,1,1,1,1,1,1
"FT025","FAST","female","black",1,0,NA,1,1,1,1,1,1,1
"FT026","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT027","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT028","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT029","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT030","FAST","male","black",1,0,NA,0,1,0,1,1,1,1
"FT031","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT032","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT033","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT034","FAST","male","white",0,0,NA,0,0,0,1,0,0,1
"FT035","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT036","FAST","female","black",1,1,NA,0,1,0,1,1,1,1
"FT037","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT038","FAST","male","white",1,1,NA,1,1,1,1,1,0,1
"FT039","FAST","male","black",1,0,NA,0,1,0,0,0,1,1
"FT040","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT041","FAST","male","black",1,1,NA,0,0,1,0,1,1,1
"FT042","FAST","female","black",1,0,NA,0,1,1,1,1,1,1
"FT043","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT044","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT045","FAST","male","black",0,0,NA,0,0,0,0,0,0,1
"FT046","FAST","female","white",1,1,NA,1,1,1,1,1,1,1
"FT047","FAST","female","white",0,0,NA,0,0,0,0,0,1,1
"FT048","FAST","female","white",0,0,NA,0,0,0,0,1,0,1
"FT049","FAST","male","white",1,0,NA,0,1,0,1,1,1,1
"FT050","FAST","male","black",0,0,NA,1,0,0,0,1,0,0
"FT052","FAST","male","white",1,0,NA,0,1,0,0,0,1,0
"FT053","FAST","male","white",1,0,NA,1,1,0,1,1,1,1
"FT054","FAST","male","black",1,1,NA,0,1,0,1,1,1,1
"FT055","FAST","male","white",0,0,NA,1,0,0,1,1,1,1
"FT056","FAST","male","black",1,0,NA,1,1,0,1,1,1,0
"FT058","FAST","male","white",1,0,NA,0,0,0,1,0,0,1
"FT059","FAST","female","white",1,0,NA,1,1,1,1,1,1,1
"FT060","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT061","FAST","male","white",1,0,NA,0,0,0,0,0,1,1
"FT062","FAST","male","black",1,0,NA,1,1,1,1,1,1,1
"FT063","FAST","male","white",1,0,NA,1,1,1,1,1,1,1
"FT064","FAST","male","black",1,1,NA,1,0,1,0,1,0,0
"FT065","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT066","FAST","male","white",1,0,NA,1,1,0,1,1,1,1
"FT067","FAST","male","white",1,0,NA,0,0,0,1,1,0,1
"FT068","FAST","male","white",1,0,NA,1,1,1,1,1,1,0
"FT070","FAST","female","black",1,1,NA,1,1,1,1,1,1,0
"FT071","FAST","male","white",1,1,NA,1,1,1,1,1,1,0
"FT072","FAST","male","black",0,0,NA,0,0,0,0,0,0,1
"FT073","FAST","male","black",1,0,NA,1,0,1,1,1,1,1
"FT075","FAST","female","black",1,0,NA,1,1,1,1,1,0,1
"FT076","FAST","male","black",1,1,NA,1,1,1,1,1,1,0
"FT078","FAST","female","white",1,1,NA,1,1,1,1,1,1,0
"FT079","FAST","female","white",0,0,NA,0,0,0,0,1,0,1
"FT080","FAST","male","white",1,0,NA,1,1,1,1,1,0,1
"FT081","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT082","FAST","male","white",1,1,NA,1,1,1,1,1,1,1
"FT083","FAST","female","white",0,0,NA,0,0,0,1,1,0,1
"FT084","FAST","female","white",1,1,NA,1,0,1,1,1,1,1
"FT085","FAST","female","black",1,0,NA,0,1,1,1,1,1,1
"FT086","FAST","male","black",1,0,NA,1,0,1,1,1,1,1
"FT087","FAST","female","black",1,0,NA,0,1,0,1,1,1,1
"FT088","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT089","FAST","male","black",1,1,NA,1,1,0,1,1,1,1
"FT090","FAST","female","black",1,1,NA,1,1,1,1,1,1,0
"FT091","FAST","female","white",1,0,NA,1,1,0,1,1,1,1
"FT092","FAST","male","white",1,1,NA,1,1,1,1,0,1,0
"FT093","FAST","male","black",1,0,NA,0,1,0,0,0,1,1
"FT094","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT095","FAST","male","white",0,0,NA,0,1,0,1,0,0,1
"FT096","FAST","male","black",1,0,NA,0,0,0,1,0,1,1
"FT097","FAST","female","white",1,0,NA,1,1,1,1,1,1,1
"FT098","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT099","FAST","male","black",1,0,NA,0,1,0,1,1,1,1
"FT100","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT101","FAST","male","black",0,0,NA,0,1,0,0,0,0,1
"FT102","FAST","female","black",1,0,NA,1,1,0,1,1,1,1
"FT103","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
"FT105","FAST","female","white",1,0,NA,0,0,0,0,0,0,1
"FT106","FAST","male","black",1,1,NA,1,1,1,1,1,1,1
"FT107","FAST","male","black",1,0,NA,0,0,1,1,1,1,1
"FT108","FAST","male","black",1,0,NA,0,0,0,0,1,1,0
"FT110","FAST","male","white",1,0,NA,1,1,0,1,1,1,1
"FT111","FAST","male","white",0,0,NA,0,0,0,0,0,0,1
